DATE;CASES
01-03-20;19
02-03-20;19
03-03-20;34
04-03-20;53
05-03-20;81
06-03-20;110
07-03-20;27
08-03-20;64
09-03-20;94
10-03-20;99
11-03-20;174
12-03-20;250
13-03-20;338
14-03-20;179
15-03-20;214
16-03-20;387
17-03-20;422
18-03-20;534
19-03-20;713
20-03-20;662
21-03-20;469
22-03-20;486
23-03-20;1328
24-03-20;1195
25-03-20;1199
26-03-20;1363
27-03-20;1518
28-03-20;844
29-03-20;683
30-03-20;1738
31-03-20;1681
01-04-20;1516
02-04-20;1478
03-04-20;1694
04-04-20;922
05-04-20;665
06-04-20;1934
07-04-20;1515
08-04-20;1598
09-04-20;2239
10-04-20;2336
11-04-20;1029
12-04-20;524
13-04-20;537
14-04-20;1560
15-04-20;1633
16-04-20;1674
17-04-20;1394
18-04-20;722
19-04-20;443
20-04-20;1276
21-04-20;1270
22-04-20;777
23-04-20;976
24-04-20;811
25-04-20;388
26-04-20;205
27-04-20;755
28-04-20;569
29-04-20;522
30-04-20;586
01-05-20;237
02-05-20;286
03-05-20;140
04-05-20;670
05-05-20;546
06-05-20;552
07-05-20;442
08-05-20;483
09-05-20;240
10-05-20;118
11-05-20;476
12-05-20;395
13-05-20;321
14-05-20;305
15-05-20;346
16-05-20;147
17-05-20;81
18-05-20;317
19-05-20;292
20-05-20;385
21-05-20;70
22-05-20;248
23-05-20;123
24-05-20;75
25-05-20;314
26-05-20;202
27-05-20;182
28-05-20;171
29-05-20;165
30-05-20;61
31-05-20;49
01-06-20;59
02-06-20;181
03-06-20;159
04-06-20;172
05-06-20;154
06-06-20;69
07-06-20;53
08-06-20;152
09-06-20;145
10-06-20;119
11-06-20;95
12-06-20;89
13-06-20;49
14-06-20;22
15-06-20;147
16-06-20;99
17-06-20;123
18-06-20;108
19-06-20;121
20-06-20;50
21-06-20;20
22-06-20;143
23-06-20;110
24-06-20;100
25-06-20;76
26-06-20;113
27-06-20;41
28-06-20;24
29-06-20;127
30-06-20;100
01-07-20;135
02-07-20;93
03-07-20;94
04-07-20;64
05-07-20;24
06-07-20;112
07-07-20;99
08-07-20;137
09-07-20;124
10-07-20;127
11-07-20;62
12-07-20;43
13-07-20;224
14-07-20;207
15-07-20;260
16-07-20;226
17-07-20;274
18-07-20;130
19-07-20;64
20-07-20;443
21-07-20;145
22-07-20;553
23-07-20;439
24-07-20;496
25-07-20;229
26-07-20;184
27-07-20;595
28-07-20;685
29-07-20;703
30-07-20;635
31-07-20;684
01-08-20;309
02-08-20;148
03-08-20;794
04-08-20;813
05-08-20;767
06-08-20;769
07-08-20;771
08-08-20;304
09-08-20;122
10-08-20;873
11-08-20;718
12-08-20;609
13-08-20;669
14-08-20;587
