Dates;0-24;25-44;45-64;65-74;75-84;85+;NA;Total général
01-03-20;0;0;0;0;0;0;0;0
02-03-20;0;0;0;0;0;0;0;0
03-03-20;0;0;0;0;0;0;0;0
04-03-20;0;0;0;0;0;0;0;0
05-03-20;0;0;0;0;0;0;0;0
06-03-20;0;0;0;0;0;0;0;0
07-03-20;0;0;0;0;1;0;0;1
08-03-20;0;0;0;0;0;0;0;0
09-03-20;0;0;0;0;0;0;0;0
10-03-20;0;0;0;0;0;1;0;1
11-03-20;0;0;0;1;0;2;0;3
12-03-20;0;0;0;0;0;0;0;0
13-03-20;0;0;0;1;2;0;0;3
14-03-20;0;0;0;2;3;2;0;7
15-03-20;0;0;0;3;2;2;0;7
16-03-20;0;0;0;2;3;6;0;11
17-03-20;0;0;0;1;6;8;0;15
18-03-20;0;1;1;3;8;12;0;25
19-03-20;0;0;1;8;8;18;0;35
20-03-20;0;0;6;4;6;24;0;40
21-03-20;0;1;3;5;15;17;0;41
22-03-20;0;1;6;7;13;28;0;55
23-03-20;0;0;9;12;24;37;0;82
24-03-20;0;0;5;13;21;37;0;76
25-03-20;0;1;10;20;38;42;0;111
26-03-20;0;1;6;11;36;48;0;102
27-03-20;0;0;10;15;47;64;0;136
28-03-20;0;0;8;17;55;62;1;143
29-03-20;0;1;3;24;52;65;0;145
30-03-20;1;0;12;14;58;86;0;171
31-03-20;0;1;14;23;66;96;1;201
01-04-20;0;1;14;26;76;124;0;241
02-04-20;0;0;14;37;62;101;0;214
03-04-20;0;0;13;29;74;125;1;242
04-04-20;0;1;10;26;93;134;5;269
05-04-20;0;3;10;38;67;128;0;246
06-04-20;0;2;11;29;76;137;0;255
07-04-20;0;3;11;24;98;140;0;276
08-04-20;0;1;12;33;100;177;1;324
09-04-20;0;1;14;28;79;148;0;270
10-04-20;0;0;13;26;102;163;0;304
11-04-20;0;0;17;28;81;160;2;288
12-04-20;0;1;19;27;83;138;0;268
13-04-20;0;0;16;25;83;151;0;275
14-04-20;0;2;11;19;94;133;0;259
15-04-20;0;0;20;32;66;160;2;280
16-04-20;0;0;8;27;72;137;1;245
17-04-20;0;0;9;29;43;124;0;205
18-04-20;0;1;10;30;50;119;0;210
19-04-20;0;1;3;16;59;106;1;186
20-04-20;0;1;10;21;64;111;1;208
21-04-20;0;0;7;15;52;118;0;192
22-04-20;0;0;10;15;56;100;0;181
23-04-20;0;0;10;25;30;91;0;156
24-04-20;0;0;8;17;42;89;0;156
25-04-20;0;1;7;20;45;68;1;142
26-04-20;0;1;13;13;45;79;1;152
27-04-20;0;0;7;16;31;78;0;132
28-04-20;0;0;8;19;32;54;0;113
29-04-20;0;1;6;9;16;75;0;107
30-04-20;0;1;6;9;17;58;0;91
01-05-20;0;0;5;18;21;50;0;94
02-05-20;0;2;4;8;22;43;0;79
03-05-20;0;0;6;17;27;41;0;91
04-05-20;0;0;4;10;23;56;0;93
