DATE;NR_REPORTING;TOTAL_IN;TOTAL_IN_ICU;TOTAL_IN_RESP;TOTAL_IN_ECMO;NEW_IN;NEW_OUT
15-03-20;104;263;53;31;1;70;14
16-03-20;104;370;79;51;1;88;14
17-03-20;104;493;100;65;3;125;28
18-03-20;104;646;130;88;4;179;26
19-03-20;104;840;164;114;4;213;49
20-03-20;104;1108;229;168;7;294;55
21-03-20;104;1384;290;200;6;322;74
22-03-20;104;1661;326;240;8;278;61
23-03-20;104;1883;385;286;6;268;60
24-03-20;104;2204;487;333;8;420;113
25-03-20;104;2721;612;422;10;543;129
26-03-20;104;3111;699;503;11;494;181
27-03-20;104;3649;789;579;16;587;206
28-03-20;104;4088;867;656;20;642;296
29-03-20;104;4536;961;726;19;545;169
30-03-20;104;4897;1021;786;20;486;168
31-03-20;104;4988;1088;834;24;550;431
01-04-20;104;5219;1144;906;29;599;369
02-04-20;104;5398;1205;916;28;572;377
03-04-20;104;5562;1256;990;31;502;375
04-04-20;104;5531;1261;1002;31;502;502
05-04-20;104;5620;1267;1013;37;360;236
06-04-20;104;5759;1260;999;38;324;167
07-04-20;104;5710;1276;1008;45;475;533
08-04-20;104;5620;1286;995;46;464;484
09-04-20;104;5640;1279;994;44;467;411
10-04-20;104;5663;1262;981;48;431;418
11-04-20;104;5538;1251;952;48;392;482
12-04-20;104;5542;1253;955;47;277;238
13-04-20;104;5554;1226;915;45;244;162
14-04-20;104;5532;1204;889;45;253;238
15-04-20;104;5331;1182;868;43;317;453
16-04-20;104;5181;1150;846;42;313;397
17-04-20;104;5088;1119;809;48;306;392
18-04-20;104;4889;1081;781;40;265;410
19-04-20;104;4940;1071;760;39;227;137
20-04-20;104;4996;1079;777;42;184;107
21-04-20;104;4765;1020;733;42;262;429
22-04-20;104;4527;993;703;43;216;364
23-04-20;104;4353;970;681;44;204;322
24-04-20;104;4195;934;635;46;221;310
25-04-20;104;3957;901;620;43;203;369
26-04-20;104;3968;903;600;45;130;98
